case_id,prompt,grounding,brevity,passed
PR-001,baseline,0.55,0.72,False
PR-002,evidence,0.82,0.72,True
PR-003,calibrated,0.84,0.72,True
PR-004,concise,0.61,0.9,False
PR-005,baseline,0.55,0.72,False
PR-006,evidence,0.82,0.72,True
PR-007,calibrated,0.84,0.72,True
PR-008,concise,0.61,0.9,False
PR-009,baseline,0.55,0.72,False
PR-010,evidence,0.82,0.72,True
PR-011,calibrated,0.84,0.72,True
PR-012,concise,0.61,0.9,False
PR-013,baseline,0.55,0.72,False
PR-014,evidence,0.82,0.72,True
PR-015,calibrated,0.84,0.72,True
PR-016,concise,0.61,0.9,False
PR-017,baseline,0.55,0.72,False
PR-018,evidence,0.82,0.72,True
PR-019,calibrated,0.84,0.72,True
PR-020,concise,0.61,0.9,False
PR-021,baseline,0.55,0.72,False
PR-022,evidence,0.82,0.72,True
PR-023,calibrated,0.84,0.72,True
PR-024,concise,0.61,0.9,False
PR-025,baseline,0.55,0.72,False
PR-026,evidence,0.82,0.72,True
PR-027,calibrated,0.84,0.72,True
PR-028,concise,0.61,0.9,False
PR-029,baseline,0.55,0.72,False
PR-030,evidence,0.82,0.72,True
PR-031,calibrated,0.84,0.72,True
PR-032,concise,0.61,0.9,False
